model,prompt_id,day_1,day_2,similarity
claude-haiku-4-5,7,20,21,0.8781841
claude-haiku-4-5,7,21,22,0.8762034
claude-haiku-4-5,7,22,23,0.86851674
claude-haiku-4-5,7,23,24,0.8689681
claude-haiku-4-5,7,24,25,0.8363845
claude-haiku-4-5,7,25,26,0.8319578
claude-haiku-4-5,7,26,27,0.829214
claude-haiku-4-5,7,27,28,0.8229625
claude-haiku-4-5,7,28,29,0.8444725
claude-haiku-4-5,7,29,30,0.8113481
claude-haiku-4-5,8,1,2,0.90872693
claude-haiku-4-5,8,2,3,0.89914876
claude-haiku-4-5,8,3,4,0.9278555
claude-haiku-4-5,8,4,5,0.8318577
claude-haiku-4-5,8,5,6,0.91982996
claude-haiku-4-5,8,6,7,0.8728601
claude-haiku-4-5,8,7,8,0.8901218
claude-haiku-4-5,8,8,9,0.8793931
claude-haiku-4-5,8,9,10,0.78646046
claude-haiku-4-5,8,10,11,0.81798667
claude-haiku-4-5,8,11,12,0.81874096
claude-haiku-4-5,8,12,13,0.9088277
claude-haiku-4-5,8,13,14,0.8749537
claude-haiku-4-5,8,14,15,0.9195258
claude-haiku-4-5,8,15,16,0.91107476
claude-haiku-4-5,8,16,17,0.92694926
claude-haiku-4-5,8,17,18,0.8681992
claude-haiku-4-5,8,18,19,0.9401176
claude-haiku-4-5,8,19,20,0.9218925
claude-haiku-4-5,8,20,21,0.8570836
claude-haiku-4-5,8,21,22,0.9422246
claude-haiku-4-5,8,22,23,0.8565289
claude-haiku-4-5,8,23,24,0.9435683
claude-haiku-4-5,8,24,25,0.9515342
claude-haiku-4-5,8,25,26,0.9202548
claude-haiku-4-5,8,26,27,0.8313883
claude-haiku-4-5,8,27,28,0.82194984
claude-haiku-4-5,8,28,29,0.91965485
claude-haiku-4-5,8,29,30,0.90131724
claude-haiku-4-5,9,1,2,0.9465978
claude-haiku-4-5,9,2,3,0.9348991
claude-haiku-4-5,9,3,4,0.91534585
claude-haiku-4-5,9,4,5,0.7721591
claude-haiku-4-5,9,5,6,0.83960617
claude-haiku-4-5,9,6,7,0.9227295
claude-haiku-4-5,9,7,8,0.92597044
claude-haiku-4-5,9,8,9,0.8536214
claude-haiku-4-5,9,9,10,0.8248343
claude-haiku-4-5,9,10,11,0.7447393
claude-haiku-4-5,9,11,12,0.8173733
claude-haiku-4-5,9,12,13,0.8193034
claude-haiku-4-5,9,13,14,0.90556943
claude-haiku-4-5,9,14,15,0.9086563
claude-haiku-4-5,9,15,16,0.9479187
claude-haiku-4-5,9,16,17,0.9325119
claude-haiku-4-5,9,17,18,0.92599475
claude-haiku-4-5,9,18,19,0.8670935
claude-haiku-4-5,9,19,20,0.8038044
claude-haiku-4-5,9,20,21,0.9003662
claude-haiku-4-5,9,21,22,0.8677557
claude-haiku-4-5,9,22,23,0.8650216
claude-haiku-4-5,9,23,24,0.8900625
claude-haiku-4-5,9,24,25,0.8001573
claude-haiku-4-5,9,25,26,0.9073056
claude-haiku-4-5,9,26,27,0.93790317
claude-haiku-4-5,9,27,28,0.7833343
claude-haiku-4-5,9,28,29,0.77869606
claude-haiku-4-5,9,29,30,0.78635395
claude-haiku-4-5,10,1,2,0.87240267
claude-haiku-4-5,10,2,3,0.92337126
claude-haiku-4-5,10,3,4,0.9094312
claude-haiku-4-5,10,4,5,0.8999404
claude-haiku-4-5,10,5,6,0.8942913
claude-haiku-4-5,10,6,7,0.85405624
claude-haiku-4-5,10,7,8,0.9472699
claude-haiku-4-5,10,8,9,0.9026903
claude-haiku-4-5,10,9,10,0.89964116
claude-haiku-4-5,10,10,11,0.8220527
claude-haiku-4-5,10,11,12,0.9199559
claude-haiku-4-5,10,12,13,0.9343052
claude-haiku-4-5,10,13,14,0.96089065
claude-haiku-4-5,10,14,15,0.95373535
claude-haiku-4-5,10,15,16,0.89943874
claude-haiku-4-5,10,16,17,0.8768165
claude-haiku-4-5,10,17,18,0.8633324
claude-haiku-4-5,10,18,19,0.9317169
claude-haiku-4-5,10,19,20,0.90586746
claude-haiku-4-5,10,20,21,0.90264875
claude-haiku-4-5,10,21,22,0.89200187
claude-haiku-4-5,10,22,23,0.89029884
claude-haiku-4-5,10,23,24,0.9098245
claude-haiku-4-5,10,24,25,0.928364
claude-haiku-4-5,10,25,26,0.95568055
claude-haiku-4-5,10,26,27,0.9226499
claude-haiku-4-5,10,27,28,0.9074912
claude-haiku-4-5,10,28,29,0.87826806
claude-haiku-4-5,10,29,30,0.9235613
claude-haiku-4-5,11,1,2,0.8259587
claude-haiku-4-5,11,2,3,0.80467176
claude-haiku-4-5,11,3,4,0.79555345
claude-haiku-4-5,11,4,5,0.84978116
claude-haiku-4-5,11,5,6,0.888185
claude-haiku-4-5,11,6,7,0.81033653
claude-haiku-4-5,11,7,8,0.8187696
claude-haiku-4-5,11,8,9,0.8843441
claude-haiku-4-5,11,9,10,0.84604883
claude-haiku-4-5,11,10,11,0.8757005
claude-haiku-4-5,11,11,12,0.77481586
claude-haiku-4-5,11,12,13,0.6668419
claude-haiku-4-5,11,13,14,0.665617
claude-haiku-4-5,11,14,15,0.72307265
claude-haiku-4-5,11,15,16,0.8580912
claude-haiku-4-5,11,16,17,0.87363285
claude-haiku-4-5,11,17,18,0.8793485
claude-haiku-4-5,11,18,19,0.8949981
claude-haiku-4-5,11,19,20,0.87810147
claude-haiku-4-5,11,20,21,0.87677795
claude-haiku-4-5,11,21,22,0.75829923
claude-haiku-4-5,11,22,23,0.87345576
claude-haiku-4-5,11,23,24,0.80153245
claude-haiku-4-5,11,24,25,0.8088576
claude-haiku-4-5,11,25,26,0.90289825
claude-haiku-4-5,11,26,27,0.8260137
claude-haiku-4-5,11,27,28,0.79798067
claude-haiku-4-5,11,28,29,0.7848469
claude-haiku-4-5,11,29,30,0.74743736
claude-haiku-4-5,12,1,2,0.85955447
claude-haiku-4-5,12,2,3,0.87572014
claude-haiku-4-5,12,3,4,0.8863343
claude-haiku-4-5,12,4,5,0.84916925
claude-haiku-4-5,12,5,6,0.846177
claude-haiku-4-5,12,6,7,0.7111886
claude-haiku-4-5,12,7,8,0.8289173
claude-haiku-4-5,12,8,9,0.9071344
claude-haiku-4-5,12,9,10,0.8016071
claude-haiku-4-5,12,10,11,0.84908116
claude-haiku-4-5,12,11,12,0.81369066
claude-haiku-4-5,12,12,13,0.76155865
claude-haiku-4-5,12,13,14,0.9092062
claude-haiku-4-5,12,14,15,0.86923563
claude-haiku-4-5,12,15,16,0.86340654
claude-haiku-4-5,12,16,17,0.8378423
claude-haiku-4-5,12,17,18,0.84273875
claude-haiku-4-5,12,18,19,0.88548446
claude-haiku-4-5,12,19,20,0.85787386
claude-haiku-4-5,12,20,21,0.7587999
claude-haiku-4-5,12,21,22,0.7715807
claude-haiku-4-5,12,22,23,0.88913906
claude-haiku-4-5,12,23,24,0.9319308
claude-haiku-4-5,12,24,25,0.924096
claude-haiku-4-5,12,25,26,0.8908454
claude-haiku-4-5,12,26,27,0.83385384
claude-haiku-4-5,12,27,28,0.7878648
claude-haiku-4-5,12,28,29,0.8941405
claude-haiku-4-5,12,29,30,0.7909014
claude-haiku-4-5,13,1,2,0.9692775
claude-haiku-4-5,13,2,3,0.9039779
claude-haiku-4-5,13,3,4,0.8794379
claude-haiku-4-5,13,4,5,0.94013715
claude-haiku-4-5,13,5,6,0.8962357
claude-haiku-4-5,13,6,7,0.89513946
claude-haiku-4-5,13,7,8,0.9376613
claude-haiku-4-5,13,8,9,0.91168505
claude-haiku-4-5,13,9,10,0.9071144
claude-haiku-4-5,13,10,11,0.9260455
claude-haiku-4-5,13,11,12,0.89582247
claude-haiku-4-5,13,12,13,0.922079
claude-haiku-4-5,13,13,14,0.95165485
claude-haiku-4-5,13,14,15,0.913416
claude-haiku-4-5,13,15,16,0.927372
claude-haiku-4-5,13,16,17,0.9275057
claude-haiku-4-5,13,17,18,0.93850243
claude-haiku-4-5,13,18,19,0.9293282
claude-haiku-4-5,13,19,20,0.9269204
claude-haiku-4-5,13,20,21,0.92058414
claude-haiku-4-5,13,21,22,0.95466256
claude-haiku-4-5,13,22,23,0.91092527
claude-haiku-4-5,13,23,24,0.8682704
claude-haiku-4-5,13,24,25,0.8592553
claude-haiku-4-5,13,25,26,0.9067059
claude-haiku-4-5,13,26,27,0.91291726
claude-haiku-4-5,13,27,28,0.9115694
claude-haiku-4-5,13,28,29,0.9202664
claude-haiku-4-5,13,29,30,0.9051476
claude-haiku-4-5,14,1,2,0.7613194
claude-haiku-4-5,14,2,3,0.88209426
claude-haiku-4-5,14,3,4,0.8432716
claude-haiku-4-5,14,4,5,0.73366857
claude-haiku-4-5,14,5,6,0.7431942
claude-haiku-4-5,14,6,7,0.8647539
claude-haiku-4-5,14,7,8,0.8982239
claude-haiku-4-5,14,8,9,0.8733268
claude-haiku-4-5,14,9,10,0.80369574
claude-haiku-4-5,14,10,11,0.8749572
claude-haiku-4-5,14,11,12,0.86784196
claude-haiku-4-5,14,12,13,0.67956525
claude-haiku-4-5,14,13,14,0.6407627
claude-haiku-4-5,14,14,15,0.83301544
claude-haiku-4-5,14,15,16,0.8040455
claude-haiku-4-5,14,16,17,0.6781421
claude-haiku-4-5,14,17,18,0.6827223
claude-haiku-4-5,14,18,19,0.8145941
claude-haiku-4-5,14,19,20,0.7265937
claude-haiku-4-5,14,20,21,0.74582326
claude-haiku-4-5,14,21,22,0.84296566
claude-haiku-4-5,14,22,23,0.8715037
claude-haiku-4-5,14,23,24,0.7397959
claude-haiku-4-5,14,24,25,0.69912106
claude-haiku-4-5,14,25,26,0.79420197
claude-haiku-4-5,14,26,27,0.8702111
claude-haiku-4-5,14,27,28,0.9083853
claude-haiku-4-5,14,28,29,0.88141644
claude-haiku-4-5,14,29,30,0.87353826
claude-haiku-4-5,15,1,2,0.7187253
claude-haiku-4-5,15,2,3,0.810891
claude-haiku-4-5,15,3,4,0.73513395
claude-haiku-4-5,15,4,5,0.8153558
claude-haiku-4-5,15,5,6,0.6950475
claude-haiku-4-5,15,6,7,0.794483
claude-haiku-4-5,15,7,8,0.76855934
claude-haiku-4-5,15,8,9,0.7364522
claude-haiku-4-5,15,9,10,0.86168456
claude-haiku-4-5,15,10,11,0.8631412
claude-haiku-4-5,15,11,12,0.85553694
claude-haiku-4-5,15,12,13,0.81394464
claude-haiku-4-5,15,13,14,0.86328834
claude-haiku-4-5,15,14,15,0.83795077
claude-haiku-4-5,15,15,16,0.7670725
claude-haiku-4-5,15,16,17,0.7146137
claude-haiku-4-5,15,17,18,0.8197186
claude-haiku-4-5,15,18,19,0.85697037
claude-haiku-4-5,15,19,20,0.8067088
claude-haiku-4-5,15,20,21,0.83182573
claude-haiku-4-5,15,21,22,0.85580826
claude-haiku-4-5,15,22,23,0.8335953
claude-haiku-4-5,15,23,24,0.9110035
claude-haiku-4-5,15,24,25,0.87592936
claude-haiku-4-5,15,25,26,0.8442906
claude-haiku-4-5,15,26,27,0.91449356
claude-haiku-4-5,15,27,28,0.82997024
claude-haiku-4-5,15,28,29,0.79977155
claude-haiku-4-5,15,29,30,0.77481663
gemini-2.5-flash,1,1,2,0.94370794
gemini-2.5-flash,1,2,3,0.9289805
gemini-2.5-flash,1,3,4,0.913638
gemini-2.5-flash,1,4,5,0.9143969
gemini-2.5-flash,1,5,6,0.923574
gemini-2.5-flash,1,6,7,0.9284025
gemini-2.5-flash,1,7,8,0.92814046
gemini-2.5-flash,1,8,9,0.8659657
gemini-2.5-flash,1,9,10,0.9398089
gemini-2.5-flash,1,10,11,0.9202812
gemini-2.5-flash,1,11,12,0.90106606
gemini-2.5-flash,1,12,13,0.94774586
gemini-2.5-flash,1,13,14,0.9262543
gemini-2.5-flash,1,14,15,0.9006229
gemini-2.5-flash,1,15,16,0.94951093
gemini-2.5-flash,1,16,17,0.942855
gemini-2.5-flash,1,17,18,0.9122238
gemini-2.5-flash,1,18,19,0.8920111
gemini-2.5-flash,1,19,20,0.9023998
gemini-2.5-flash,1,20,21,0.9219732
gemini-2.5-flash,1,21,22,0.9154756
gemini-2.5-flash,1,22,23,0.9243096
gemini-2.5-flash,1,23,24,0.9377806
gemini-2.5-flash,1,24,25,0.91050935
gemini-2.5-flash,1,25,26,0.91310924
gemini-2.5-flash,1,26,27,0.9377078
gemini-2.5-flash,1,27,28,0.93580794
gemini-2.5-flash,1,28,29,0.9421565
gemini-2.5-flash,1,29,30,0.917877
gemini-2.5-flash,2,1,2,0.84003234
gemini-2.5-flash,2,2,3,0.8688122
gemini-2.5-flash,2,3,4,0.89179856
gemini-2.5-flash,2,4,5,0.89898723
gemini-2.5-flash,2,5,6,0.84268475
gemini-2.5-flash,2,6,7,0.82412195
gemini-2.5-flash,2,7,8,0.8721643
gemini-2.5-flash,2,8,9,0.93374836
gemini-2.5-flash,2,9,10,0.9079919
gemini-2.5-flash,2,10,11,0.8538175
gemini-2.5-flash,2,11,12,0.9138502
gemini-2.5-flash,2,12,13,0.91133606
gemini-2.5-flash,2,13,14,0.87579036
gemini-2.5-flash,2,14,15,0.9044678
gemini-2.5-flash,2,15,16,0.87097096
gemini-2.5-flash,2,16,17,0.8668165
gemini-2.5-flash,2,17,18,0.86465746
gemini-2.5-flash,2,18,19,0.8607899
gemini-2.5-flash,2,19,20,0.9034493
gemini-2.5-flash,2,20,21,0.85906816
gemini-2.5-flash,2,21,22,0.90024805
gemini-2.5-flash,2,22,23,0.8495165
gemini-2.5-flash,2,23,24,0.75991523
gemini-2.5-flash,2,24,25,0.87164646
gemini-2.5-flash,2,25,26,0.72513187
gemini-2.5-flash,2,26,27,0.83185357
gemini-2.5-flash,2,27,28,0.8802792
gemini-2.5-flash,2,28,29,0.912625
gemini-2.5-flash,2,29,30,0.87760043
gemini-2.5-flash,3,1,2,0.8086216
gemini-2.5-flash,3,2,3,0.9172323
gemini-2.5-flash,3,3,4,0.9089635
gemini-2.5-flash,3,4,5,0.9029685
gemini-2.5-flash,3,5,6,0.90931463
gemini-2.5-flash,3,6,7,0.79228455
gemini-2.5-flash,3,7,8,0.84129405
gemini-2.5-flash,3,8,9,0.913488
gemini-2.5-flash,3,9,10,0.9232192
gemini-2.5-flash,3,10,11,0.9340297
gemini-2.5-flash,3,11,12,0.7208099
gemini-2.5-flash,3,12,13,0.6725652
gemini-2.5-flash,3,13,14,0.9445864
gemini-2.5-flash,3,14,15,0.7182075
gemini-2.5-flash,3,15,16,0.6811794
gemini-2.5-flash,3,16,17,0.9146974
gemini-2.5-flash,3,17,18,0.88907814
gemini-2.5-flash,3,18,19,0.83932585
gemini-2.5-flash,3,19,20,0.9009944
gemini-2.5-flash,3,20,21,0.8815917
gemini-2.5-flash,3,21,22,0.7986704
gemini-2.5-flash,3,22,23,0.8657656
gemini-2.5-flash,3,23,24,0.7139424
gemini-2.5-flash,3,24,25,0.80715215
gemini-2.5-flash,3,25,26,0.81694806
gemini-2.5-flash,3,26,27,0.9423746
gemini-2.5-flash,3,27,28,0.9379519
gemini-2.5-flash,3,28,29,0.812595
gemini-2.5-flash,3,29,30,0.8445561
gemini-2.5-flash,4,1,2,0.9023149
gemini-2.5-flash,4,2,3,0.918492
gemini-2.5-flash,4,3,4,0.925917
gemini-2.5-flash,4,4,5,0.91134965
gemini-2.5-flash,4,5,6,0.9557012
gemini-2.5-flash,4,6,7,0.93477863
gemini-2.5-flash,4,7,8,0.9264854
gemini-2.5-flash,4,8,9,0.91224086
gemini-2.5-flash,4,9,10,0.9303053
gemini-2.5-flash,4,10,11,0.8866
gemini-2.5-flash,4,11,12,0.91067684
gemini-2.5-flash,4,12,13,0.88935935
gemini-2.5-flash,4,13,14,0.88742065
gemini-2.5-flash,4,14,15,0.89362
gemini-2.5-flash,4,15,16,0.90690935
gemini-2.5-flash,4,16,17,0.911616
gemini-2.5-flash,4,17,18,0.91946983
gemini-2.5-flash,4,18,19,0.9321372
gemini-2.5-flash,4,19,20,0.9481908
gemini-2.5-flash,4,20,21,0.92289877
gemini-2.5-flash,4,21,22,0.944734
gemini-2.5-flash,4,22,23,0.87889826
gemini-2.5-flash,4,23,24,0.90764415
gemini-2.5-flash,4,24,25,0.8938365
gemini-2.5-flash,4,25,26,0.9005306
gemini-2.5-flash,4,26,27,0.87036335
gemini-2.5-flash,4,27,28,0.88498354
gemini-2.5-flash,4,28,29,0.88467836
gemini-2.5-flash,4,29,30,0.9274868
gemini-2.5-flash,5,1,2,0.9064903
gemini-2.5-flash,5,2,3,0.8945973
gemini-2.5-flash,5,3,4,0.8767884
gemini-2.5-flash,5,4,5,0.8296646
gemini-2.5-flash,5,5,6,0.8677603
gemini-2.5-flash,5,6,7,0.896294
gemini-2.5-flash,5,7,8,0.897231
gemini-2.5-flash,5,8,9,0.84386224
gemini-2.5-flash,5,9,10,0.87676597
gemini-2.5-flash,5,10,11,0.8836277
gemini-2.5-flash,5,11,12,0.88363177
gemini-2.5-flash,5,12,13,0.77685606
gemini-2.5-flash,5,13,14,0.7763003
gemini-2.5-flash,5,14,15,0.89003015
gemini-2.5-flash,5,15,16,0.9172264
gemini-2.5-flash,5,16,17,0.91904354
gemini-2.5-flash,5,17,18,0.81274533
gemini-2.5-flash,5,18,19,0.89121515
gemini-2.5-flash,5,19,20,0.86444724
gemini-2.5-flash,5,20,21,0.878477
gemini-2.5-flash,5,21,22,0.93009186
gemini-2.5-flash,5,22,23,0.8701296
gemini-2.5-flash,5,23,24,0.9009056
gemini-2.5-flash,5,24,25,0.86951494
gemini-2.5-flash,5,25,26,0.8038256
gemini-2.5-flash,5,26,27,0.8553345
gemini-2.5-flash,5,27,28,0.87152624
gemini-2.5-flash,5,28,29,0.8405081
gemini-2.5-flash,5,29,30,0.76335585
gemini-2.5-flash,6,1,2,0.92971295
gemini-2.5-flash,6,2,3,0.94316447
gemini-2.5-flash,6,3,4,0.8651931
gemini-2.5-flash,6,4,5,0.84925926
gemini-2.5-flash,6,5,6,0.94100285
gemini-2.5-flash,6,6,7,0.89098567
gemini-2.5-flash,6,7,8,0.90222824
gemini-2.5-flash,6,8,9,0.85874206
gemini-2.5-flash,6,9,10,0.8956152
gemini-2.5-flash,6,10,11,0.8511722
gemini-2.5-flash,6,11,12,0.9510915
gemini-2.5-flash,6,12,13,0.8891002
gemini-2.5-flash,6,13,14,0.88027847
gemini-2.5-flash,6,14,15,0.9083222
gemini-2.5-flash,6,15,16,0.9195196
gemini-2.5-flash,6,16,17,0.95296204
gemini-2.5-flash,6,17,18,0.91891754
gemini-2.5-flash,6,18,19,0.91070294
gemini-2.5-flash,6,19,20,0.89781606
gemini-2.5-flash,6,20,21,0.90676284
gemini-2.5-flash,6,21,22,0.9379235
gemini-2.5-flash,6,22,23,0.9409603
gemini-2.5-flash,6,23,24,0.92372084
gemini-2.5-flash,6,24,25,0.91236913
gemini-2.5-flash,6,25,26,0.9277274
gemini-2.5-flash,6,26,27,0.89359456
gemini-2.5-flash,6,27,28,0.8742136
gemini-2.5-flash,6,28,29,0.9150834
gemini-2.5-flash,6,29,30,0.934844
gemini-2.5-flash,7,1,2,0.8161813
gemini-2.5-flash,7,2,3,0.8702018
gemini-2.5-flash,7,3,4,0.87614167
gemini-2.5-flash,7,4,5,0.769205
gemini-2.5-flash,7,5,6,0.79227406
gemini-2.5-flash,7,6,7,0.92699575
gemini-2.5-flash,7,7,8,0.88540804
gemini-2.5-flash,7,8,9,0.8045528
gemini-2.5-flash,7,9,10,0.7517799
gemini-2.5-flash,7,10,11,0.8757976
gemini-2.5-flash,7,11,12,0.8719468
gemini-2.5-flash,7,12,13,0.8810047
gemini-2.5-flash,7,13,14,0.8459731
gemini-2.5-flash,7,14,15,0.80635494
gemini-2.5-flash,7,15,16,0.9147368
gemini-2.5-flash,7,16,17,0.90424484
gemini-2.5-flash,7,17,18,0.9381396
gemini-2.5-flash,7,18,19,0.9250948
gemini-2.5-flash,7,19,20,0.9289396
gemini-2.5-flash,7,20,21,0.9085704
gemini-2.5-flash,7,21,22,0.91085917
gemini-2.5-flash,7,22,23,0.9087835
gemini-2.5-flash,7,23,24,0.9104166
gemini-2.5-flash,7,24,25,0.9291396
gemini-2.5-flash,7,25,26,0.89351827
gemini-2.5-flash,7,26,27,0.9041692
gemini-2.5-flash,7,27,28,0.89651334
gemini-2.5-flash,7,28,29,0.8292588
gemini-2.5-flash,7,29,30,0.82730454
gemini-2.5-flash,8,1,2,0.93921256
gemini-2.5-flash,8,2,3,0.9385054
gemini-2.5-flash,8,3,4,0.9491096
gemini-2.5-flash,8,4,5,0.96652126
gemini-2.5-flash,8,5,6,0.96444935
gemini-2.5-flash,8,6,7,0.92166334
gemini-2.5-flash,8,7,8,0.97418785
gemini-2.5-flash,8,8,9,0.93788683
gemini-2.5-flash,8,9,10,0.95670706
gemini-2.5-flash,8,10,11,0.9471108
gemini-2.5-flash,8,11,12,0.9454227
gemini-2.5-flash,8,12,13,0.96442133
gemini-2.5-flash,8,13,14,0.9073911
gemini-2.5-flash,8,14,15,0.92847115
gemini-2.5-flash,8,15,16,0.91127306
gemini-2.5-flash,8,16,17,0.89913356
gemini-2.5-flash,8,17,18,0.91217434
gemini-2.5-flash,8,18,19,0.9153805
gemini-2.5-flash,8,19,20,0.9581547
gemini-2.5-flash,8,20,21,0.94890654
gemini-2.5-flash,8,21,22,0.9655017
gemini-2.5-flash,8,22,23,0.9155093
gemini-2.5-flash,8,23,24,0.91512436
gemini-2.5-flash,8,24,25,0.92584527
gemini-2.5-flash,8,25,26,0.9510387
gemini-2.5-flash,8,26,27,0.96042717
gemini-2.5-flash,8,27,28,0.9432657
gemini-2.5-flash,8,28,29,0.9524251
gemini-2.5-flash,8,29,30,0.95100224
gemini-2.5-flash,9,1,2,0.94101286
gemini-2.5-flash,9,2,3,0.95636296
gemini-2.5-flash,9,3,4,0.9152114
gemini-2.5-flash,9,4,5,0.9355886
gemini-2.5-flash,9,5,6,0.9434982
gemini-2.5-flash,9,6,7,0.80316544
gemini-2.5-flash,9,7,8,0.7332053
gemini-2.5-flash,9,8,9,0.8638996
gemini-2.5-flash,9,9,10,0.87715673
gemini-2.5-flash,9,10,11,0.93375695
gemini-2.5-flash,9,11,12,0.9401744
gemini-2.5-flash,9,12,13,0.9371487
gemini-2.5-flash,9,13,14,0.96070015
gemini-2.5-flash,9,14,15,0.9458628
gemini-2.5-flash,9,15,16,0.9132755
gemini-2.5-flash,9,16,17,0.88090664
gemini-2.5-flash,9,17,18,0.9289491
gemini-2.5-flash,9,18,19,0.93829656
gemini-2.5-flash,9,19,20,0.9397412
gemini-2.5-flash,9,20,21,0.9083249
gemini-2.5-flash,9,21,22,0.91392606
gemini-2.5-flash,9,22,23,0.89412624
gemini-2.5-flash,9,23,24,0.9326672
gemini-2.5-flash,9,24,25,0.9185769
gemini-2.5-flash,9,25,26,0.9407847
gemini-2.5-flash,9,26,27,0.9081992
gemini-2.5-flash,9,27,28,0.8445372
gemini-2.5-flash,9,28,29,0.9056511
gemini-2.5-flash,9,29,30,0.93958807
gemini-2.5-flash,10,1,2,0.64807034
gemini-2.5-flash,10,2,3,0.7969733
gemini-2.5-flash,10,3,4,0.60127413
gemini-2.5-flash,10,4,5,0.55522907
gemini-2.5-flash,10,5,6,0.7357744
gemini-2.5-flash,10,6,7,0.7746641
gemini-2.5-flash,10,7,8,0.7374736
gemini-2.5-flash,10,8,9,0.7435486
gemini-2.5-flash,10,9,10,0.8925943
gemini-2.5-flash,10,10,11,0.8811933
gemini-2.5-flash,10,11,12,0.6855869
gemini-2.5-flash,10,12,13,0.93652487
gemini-2.5-flash,10,13,14,0.77939796
gemini-2.5-flash,10,14,15,0.7420029
gemini-2.5-flash,10,15,16,0.85909796
gemini-2.5-flash,10,16,17,0.8356236
gemini-2.5-flash,10,17,18,0.90455455
gemini-2.5-flash,10,18,19,0.8317815
gemini-2.5-flash,10,19,20,0.7294828
gemini-2.5-flash,10,20,21,0.7552762
gemini-2.5-flash,10,21,22,0.8909246
gemini-2.5-flash,10,22,23,0.88332844
gemini-2.5-flash,10,23,24,0.8908918
gemini-2.5-flash,10,24,25,0.88682914
gemini-2.5-flash,10,25,26,0.9313279
gemini-2.5-flash,10,26,27,0.720657
gemini-2.5-flash,10,27,28,0.92224556
gemini-2.5-flash,10,28,29,0.87236583
gemini-2.5-flash,10,29,30,0.89911056
gemini-2.5-flash,11,1,2,0.8033985
gemini-2.5-flash,11,2,3,0.89770013
gemini-2.5-flash,11,3,4,0.9380032
gemini-2.5-flash,11,4,5,0.9103478
gemini-2.5-flash,11,5,6,0.8594075
gemini-2.5-flash,11,6,7,0.853554
gemini-2.5-flash,11,7,8,0.9610415
gemini-2.5-flash,11,8,9,0.6574299
gemini-2.5-flash,11,9,10,0.6838589
gemini-2.5-flash,11,10,11,0.9309434
gemini-2.5-flash,11,11,12,0.86913705
gemini-2.5-flash,11,12,13,0.88196975
gemini-2.5-flash,11,13,14,0.8898992
gemini-2.5-flash,11,14,15,0.6889093
gemini-2.5-flash,11,15,16,0.7221693
gemini-2.5-flash,11,16,17,0.91260076
gemini-2.5-flash,11,17,18,0.91470385
gemini-2.5-flash,11,18,19,0.82953835
gemini-2.5-flash,11,19,20,0.85900724
gemini-2.5-flash,11,20,21,0.9341188
gemini-2.5-flash,11,21,22,0.8345834
gemini-2.5-flash,11,22,23,0.88815033
gemini-2.5-flash,11,23,24,0.95353025
gemini-2.5-flash,11,24,25,0.91536224
gemini-2.5-flash,11,25,26,0.9176242
gemini-2.5-flash,11,26,27,0.9053797
gemini-2.5-flash,11,27,28,0.8737383
gemini-2.5-flash,11,28,29,0.86387813
gemini-2.5-flash,11,29,30,0.85790026
gemini-2.5-flash,12,1,2,0.96322036
gemini-2.5-flash,12,2,3,0.9644834
gemini-2.5-flash,12,3,4,0.9602228
gemini-2.5-flash,12,4,5,0.96182084
gemini-2.5-flash,12,5,6,0.9396302
gemini-2.5-flash,12,6,7,0.93701196
gemini-2.5-flash,12,7,8,0.9634062
gemini-2.5-flash,12,8,9,0.9651252
gemini-2.5-flash,12,9,10,0.9761811
gemini-2.5-flash,12,10,11,0.9694035
gemini-2.5-flash,12,11,12,0.9495289
gemini-2.5-flash,12,12,13,0.90446156
gemini-2.5-flash,12,13,14,0.9280715
gemini-2.5-flash,12,14,15,0.9715408
gemini-2.5-flash,12,15,16,0.95085216
gemini-2.5-flash,12,16,17,0.93465966
gemini-2.5-flash,12,17,18,0.96784884
gemini-2.5-flash,12,18,19,0.97118676
gemini-2.5-flash,12,19,20,0.8842522
gemini-2.5-flash,12,20,21,0.87110925
gemini-2.5-flash,12,21,22,0.9236435
gemini-2.5-flash,12,22,23,0.9660982
gemini-2.5-flash,12,23,24,0.9448716
gemini-2.5-flash,12,24,25,0.95763206
gemini-2.5-flash,12,25,26,0.9547781
gemini-2.5-flash,12,26,27,0.95579225
gemini-2.5-flash,12,27,28,0.93302137
gemini-2.5-flash,12,28,29,0.94690204
gemini-2.5-flash,12,29,30,0.9429493
gemini-2.5-flash,13,1,2,0.90702474
gemini-2.5-flash,13,2,3,0.9263178
gemini-2.5-flash,13,3,4,0.9171541
gemini-2.5-flash,13,4,5,0.9638563
gemini-2.5-flash,13,5,6,0.9246524
gemini-2.5-flash,13,6,7,0.8815136
gemini-2.5-flash,13,7,8,0.8908216
gemini-2.5-flash,13,8,9,0.91746545
gemini-2.5-flash,13,9,10,0.95846236
gemini-2.5-flash,13,10,11,0.9179464
gemini-2.5-flash,13,11,12,0.9148334
gemini-2.5-flash,13,12,13,0.93365085
gemini-2.5-flash,13,13,14,0.9361882
gemini-2.5-flash,13,14,15,0.96550894
gemini-2.5-flash,13,15,16,0.9490521
gemini-2.5-flash,13,16,17,0.945989
gemini-2.5-flash,13,17,18,0.92687833
gemini-2.5-flash,13,18,19,0.93630373
gemini-2.5-flash,13,19,20,0.90411997
